time,job,job_counting,city
2020-06,-2DARTIST(FULL-TIME),2,Hà Nội
2020-06,-2DARTIST(FULL-TIME),2,Hồ Chí Minh
2020-06,-2DARTIST(FULL-TIME),2,Đà Nẵng
2020-06,-COMMUNITYMANAGER(FULL-TIME),2,Hà Nội
2020-06,-COMMUNITYMANAGER(FULL-TIME),2,Hồ Chí Minh
2020-06,-COMMUNITYMANAGER(FULL-TIME),2,Đà Nẵng
2020-06,-FIELDSUPPORTENGINEER(FULL-TIME),2,Hà Nội
2020-06,-FIELDSUPPORTENGINEER(FULL-TIME),2,Hồ Chí Minh
2020-06,-FIELDSUPPORTENGINEER(FULL-TIME),2,Đà Nẵng
2020-06,-GAMECORELIBRARYENGINEER(FULL-TIME),2,Hà Nội
2020-06,-GAMECORELIBRARYENGINEER(FULL-TIME),2,Hồ Chí Minh
2020-06,-GAMECORELIBRARYENGINEER(FULL-TIME),2,Đà Nẵng
2020-06,-GAMEDESIGNER(FULL-TIME),2,Hà Nội
2020-06,-GAMEDESIGNER(FULL-TIME),2,Hồ Chí Minh
2020-06,-GAMEDESIGNER(FULL-TIME),2,Đà Nẵng
2020-06,-LEADSERVERARCHITECT(FULL-TIME),2,Hà Nội
2020-06,-LEADSERVERARCHITECT(FULL-TIME),2,Hồ Chí Minh
2020-06,-LEADSERVERARCHITECT(FULL-TIME),2,Đà Nẵng
2020-06,-MARKETINGARTIST(FULL-TIME),2,Hà Nội
2020-06,-MARKETINGARTIST(FULL-TIME),2,Hồ Chí Minh
2020-06,-MARKETINGARTIST(FULL-TIME),2,Đà Nẵng
2020-06,-ONLINEPROGRAMMER(FULL-TIME),2,Hà Nội
2020-06,-ONLINEPROGRAMMER(FULL-TIME),2,Hồ Chí Minh
2020-06,-ONLINEPROGRAMMER(FULL-TIME),2,Đà Nẵng
2020-06,-WEBMASTER(FULL-TIME),2,Hà Nội
2020-06,-WEBMASTER(FULL-TIME),2,Hồ Chí Minh
2020-06,-WEBMASTER(FULL-TIME),2,Đà Nẵng
2015-01,.NET,45,Hà Nội
2015-02,.NET,4,Hà Nội
2015-03,.NET,72,Hà Nội
2015-04,.NET,116,Hà Nội
2015-05,.NET,61,Hà Nội
2015-06,.NET,33,Hà Nội
2015-07,.NET,69,Hà Nội
2015-08,.NET,34,Hà Nội
2015-09,.NET,48,Hà Nội
2015-10,.NET,60,Hà Nội
2015-11,.NET,24,Hà Nội
2015-12,.NET,73,Hà Nội
2016-01,.NET,79,Hà Nội
2016-02,.NET,84,Hà Nội
2016-03,.NET,56,Hà Nội
2016-04,.NET,111,Hà Nội
2016-05,.NET,46,Hà Nội
2016-06,.NET,124,Hà Nội
2016-07,.NET,114,Hà Nội
2016-08,.NET,142,Hà Nội
2016-09,.NET,118,Hà Nội
2016-10,.NET,86,Hà Nội
2016-11,.NET,34,Hà Nội
2016-12,.NET,55,Hà Nội
2017-01,.NET,40,Hà Nội
2017-02,.NET,67,Hà Nội
2017-03,.NET,128,Hà Nội
2017-04,.NET,202,Hà Nội
2017-05,.NET,141,Hà Nội
2017-06,.NET,177,Hà Nội
2017-07,.NET,145,Hà Nội
2017-08,.NET,134,Hà Nội
2017-09,.NET,143,Hà Nội
2017-10,.NET,54,Hà Nội
2017-11,.NET,93,Hà Nội
2017-12,.NET,54,Hà Nội
2018-01,.NET,59,Hà Nội
2018-02,.NET,127,Hà Nội
2018-03,.NET,121,Hà Nội
2018-04,.NET,140,Hà Nội
2018-05,.NET,187,Hà Nội
2018-06,.NET,166,Hà Nội
2018-07,.NET,107,Hà Nội
2018-08,.NET,119,Hà Nội
2018-09,.NET,199,Hà Nội
2018-10,.NET,127,Hà Nội
2018-11,.NET,106,Hà Nội
2018-12,.NET,89,Hà Nội
2019-01,.NET,141,Hà Nội
2019-02,.NET,117,Hà Nội
2019-03,.NET,143,Hà Nội
2019-04,.NET,134,Hà Nội
2019-05,.NET,339,Hà Nội
2019-06,.NET,187,Hà Nội
2019-07,.NET,61,Hà Nội
2019-08,.NET,203,Hà Nội
2019-09,.NET,208,Hà Nội
2019-10,.NET,110,Hà Nội
2019-11,.NET,252,Hà Nội
2019-12,.NET,101,Hà Nội
2020-01,.NET,114,Hà Nội
2020-02,.NET,52,Hà Nội
2020-03,.NET,46,Hà Nội
