Company_Name,Job,City,Time,Number_Recruitment,Sexual,Profession,Title,Level,Salary,Education,Experience,Description,Requirement,Right,Place,Number_Employee,Giới thiệu công ty,Work_Way,Deadline,Age,Probation_Time,Source_Picture,Job_URL
Công Ty Cổ Phần Viễn Thông Fpt,"Business Analyst (Middle IT Ba, HCM)",TP.HCM,14/03/2025,1,,IT Phần mềm/,"Business Analyst (Middle IT Ba, HCM)",Chuyên gia,18 - 25 triệu,,2 năm,,,"Ghi chú: FPT Telecom không thu bất kỳ chi phí nào của Ứng viên, Sinh viên trong quá trình tuyển dụng, thực tập.","Lô 37-39A, đường 19, Khu chế xuất Tân Thuận, P.Tân Thuận Đông, Quận 7, TP.Hồ Chí Minh",Trên 300 nhân viên,"Công ty Cổ phần Viễn thông FPT (tên gọi tắt là FPT Telecom) hiện là một trong những nhà cung cấp dịch vụ Viễn thông và Internet hàng đầu khu vực.
Thành lập ngày 31/01/1997, khởi nguồn từ Trung tâm Dịch vụ Trực tuyến do 4 thành viên sáng lập cùng sản phẩm mạng Intranet đầu tiên của Việt Nam mang tên “Trí tuệ Việt Nam – TTVN”, sản phẩm được coi là đặt nền móng cho sự phát triển của Internet tại Việt Nam",Toàn thời gian cố định,12/04/2025,32 - 34,4 tháng,https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.png,https://vieclam24h.vn/it-phan-mem/business-analyst-middle-it-ba-hcm-c8p122id200527196.html?open_from=0201_15_11&search_id=ac7a5718660ec7d68e9e59e6de1fc761
CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ THIẾT BỊ Y TẾ HELIX,Nhân Viên Triển Khai Phần Mềm,Hà Nội,24/03/2025,5,,IT Phần mềm/,Nhân Viên Triển Khai Phần Mềm,Chuyên gia,8 - 12 triệu,,Chưa có kinh nghiệm,"Kỹ sư triển khai dự án IT làm việc tại Hà Nội. 
- Triển khai, lắp đặt hệ thống CNTT chuyên về hình ảnh Y Khoa (PACS) tại các Bệnh Viện, cơ sở y tế. 
- Theo dõi, giám sát hoạt động của hệ thống, đảm bảo hệ thống vận hành liên tục. 
- Đào tạo, hướng dẫn người dùng sử dụng các phần mềm ứng dụng. 
- Hỗ trợ người dùng trong suốt quá trình sử dụng ứng dụng. 
- Thực hiện các hoạt động bảo hành, bảo trì hệ thống và xử lý các sự cố phát sinh. 
- Phối hợp các phòng ban khác trong phân tích nghiệp vụ, phát triển và triển khai phần mềm.","- Tốt nghiệp cao đẳng/đại học chuyên ngành CNTT, điện tử viễn thông….","- Mức lương chính thức cơ bản từ 8.000.000 VNĐ – 12.000.000 VNĐ hoặc cao hơn tùy vào năng lực, kinh nghiệm và thỏa thuận trực tiếp trong quá trình phỏng vấn. 
- Thưởng theo năng lực, thưởng theo dự án, thưởng cuối năm. 
- Các chế độ khác theo quy định của nhà nước (BHXH, BHYT,..). 
- Môi trường làm việc năng động, phát triển ổn định trong lĩnh vực CNTT ngành Y Tế 
- Có cơ hội tham gia lớp đào tạo do chuyên gia của Hãng trong và ngoài nước hướng dẫn.","75 Phương Mai, Đống Đa, Hà Nội",Dưới 10 nhân viên,"Công ty Cổ phần XNK Công nghệ thiết bị Vật tư Y tế Hà Nội được thành lập ngày 22 / 11 / 2011, đặt trụ sở tại: Số 377, Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, TP.Hà Nội.
Trong quá trình 10 năm hình thành và phát triển, Công ty đã xây dựng được hệ thống đội ngũ nhân viên và lãnh đạo chuyên nghiệp hóa, gồm nhiều thành viên đã có kinh nghiệm lâu năm trong các công ty lớn, đầu ngành. Thực hiện nhiều hợp đồng cung cấp Thiết bị y tế, vật tư tiêu hao, hóa chất cho nhiều đơn vị và cá nhân, được đánh giá cao về năng lực triển khai dự án, trình độ chuyên môn của đội ngũ cán bộ, cũng như chất lượng kinh doanh và dịch vụ đối với khách hàng.
Mô hình vận hành hoạt động công ty được bố trí theo chiều ngang, làm gia tăng sự thuận tiện trong việc vận hành cỗ máy kinh doanh và gia tăng sự phối hợp thống nhất giữa các bộ phận trong công ty.",Toàn thời gian cố định,24/04/2025,28 - 30,3 tháng,https://cdn1.vieclam24h.vn/images/employer_avatar/2021/10/12/images/163402217072.jpeg,https://vieclam24h.vn/it-phan-mem/nhan-vien-trien-khai-phan-mem-c8p73id200534179.html?open_from=0201_2_23&search_id=61356cc9e5bda1472aacb8b4b02bb760
Công ty Cổ Phần Đầu Tư Công Nghệ HACOM,Nhân Viên Bán Hàng Siêu Thị - Thu Nhập Lên Đến 13 Triệu,Hà Nội,01/04/2025,3,Nữ,IT Phần cứng - Mạng,Nhân Viên Bán Hàng Siêu Thị - Thu Nhập Lên Đến 13 Triệu,Chuyên viên- nhân viên,10 - 13 triệu,,1 năm,,,,131 Lê Thanh Nghị - Hai Bà Trưng - Hà Nội,Trên 300 nhân viên,"Công ty Cổ phần Đầu tư Công nghệ HACOM (HACOM), tiền thân là Công ty Cổ phần Máy tính Hà Nội (HNC - Hanoicomputer) là một trong những doanh nghiệp tiên phong tại Hà Nội trong lĩnh vực Kinh doanh các sản phẩm CNTT và thiết bị văn phòng. Thành lập từ năm 2001 đến nay, công ty đã tạo được chỗ đứng vững chắc trên thị trường bán buôn, bán lẻ. Trở thành thương hiệu quen thuộc và là đối tác tin cậy của nhiều bạn hàng trong nước và Quốc tế. Với chặng đường hơn 20 năm tăng trưởng và phát triển không ngừng, cùng phương châm kinh doanh “Uy tín tạo dựng niềm tin” chúng tôi luôn mong muốn tìm kiếm đội ngũ cbnv chuyên nghiệp, nhiệt huyết, đầy năng lực và có mong muốn xây dựng sự nghiệp bền vững và lâu dài tại HACOM.",Toàn thời gian cố định,28/04/2025,18 - 30 tuổi,8 tháng,https://cdn1.vieclam24h.vn/images/default/2024/05/30/img-1717065427145_171706542861.png,https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-sieu-thi-thu-nhap-len-den-13-trieu-c6p73id200540607.html?open_from=0201_6_13&search_id=812c40f8ad4ea2547431bb64e6549359
Công Ty TNHH Điện Tử Công Nghệ Tường An - T.A.K.O,Nhân Viên Kỹ Thuật Bảo Hành,Hà Nội,04/04/2025,5,Nam,IT Phần cứng - Mạng/,Nhân Viên Kỹ Thuật Bảo Hành,Chuyên viên- nhân viên,9 - 11 triệu,Trung cấp,1 năm,,,,"Địa chỉ : Số 3, lô 1C (ngõ 58 Trung Kính rẽ phải), khu đô thị Trung Yên, Cầu Giấy, Hà Nội",150 - 300 nhân viên,"Thành lập từ năm 2000, Tường An là một công ty kinh doanh chuyên về phụ kiện vi tính, thiết bị mạng và các thiết bị ngoại vi. Với môi trường làm việc năng động và hiệu quả, chúng tôi xây dựng đội ngũ nhân viên chuyên nghiệp, nhiệt tình, tinh thần trách nhiệm cao, để đưa công ty phát triển nhanh, đi đầu trong lĩnh vực kinh doanh của mình.",Toàn thời gian cố định,16/04/2025,33 - 35,1 tháng,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/2f8a49fddfa9a372ab926be068e67472_1460014966_tako.png,https://vieclam24h.vn/khoa-hoc-ky-thuat/nhan-vien-ky-thuat-bao-hanh-c34p73id200520055.html?open_from=0201_1_5&search_id=bd0530514a6f16502f4b62797a203046
Công Ty TNHH Horus Productions,IT Support Supervisor,Hà Nội,24/03/2025,1,,IT Phần mềm,IT Support Supervisor,Chuyên viên- nhân viên,9 - 12 triệu,,1 năm,,,,VOV - Mễ Trì - Nam Từ Liêm - Hà Nội,10 - 150 nhân viên,,Toàn thời gian cố định,03/05/2025,31 - 33,7 tháng,https://cdn1.vieclam24h.vn/images/employer_avatar/2025/03/24/z6437938434901_aeb0cac9d0f0eb87c367d72684fb48bf_174281268278.jpg,https://vieclam24h.vn/it-phan-mem/it-support-supervisor-c8p73id200533125.html?open_from=0201_13_9&search_id=1389307a16061f3e6820ca0fe2b151a2
Công Ty Cổ Phần Iagree Việt Nam,Full Stack Developer,TP.HCM,18/03/2025,1,,IT Phần mềm,Full Stack Developer,Chuyên viên- nhân viên,12 - 14 triệu,Đại học,1 năm,"About the job; The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.; Responsibilities; Revise, edit, proofread & optimize web content Work with cross-functionally to enhance overall user experience of our platforms Own various design tasks involved in the web development life cycle from start to finish","Bachelor's degree or equivalent experience in Computer Science At least 1 - 2 years' of experience using HTML, CSS, and JavaScript Proficiency in at least one server-side technology (Java, PHP, NodeJS, Python, Ruby) Ability to multi-task, organize, and prioritize wor","Salary & Bonuses: Competitive salary, performance-based bonuses, and regular salary reviews.; Career Growth & Training: Clear career path, professional training, and learning support.
Benefits: Additional paid leave, health insurance, meal & transportation allowances.
Work Environment: Open, creative culture with regular team-building activities.","Lầu 5 số 256 Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3",10 - 150 nhân viên,,Toàn thời gian cố định,14/04/2025,22 - 24,2 tháng,https://vieclam24h.vn/img/vieclam24h_logo_customer.jpg,https://vieclam24h.vn/it-phan-mem/full-stack-developer-c8p122id200529225.html?open_from=0201_14_23&search_id=77a7724518e940a033ccee199f377709
Công Ty TNHH Fusion Group,Nhân Viên Thiết Kế Đồ Họa - Thu Nhập Tới 15 Triệu,"Hưng Yên,",21/03/2025,1,Nữ,IT Phần cứng - Mạng,Nhân Viên Thiết Kế Đồ Họa - Thu Nhập Tới 15 Triệu,Chuyên viên- nhân viên,11 - 15 triệu,,1 năm,"; Thời gian làm việc:; Địa chỉ Hưng Yên: từ Thứ 2 - Thứ 7, từ 8h00 – 17h00 (nghỉ 2 Thứ 7 cách tuần); Địa chỉ Hà Nội: từ Thứ 2 – Thứ 6, từ 8h30 – 17h30 (nghỉ T7 & CN)",,,"Lô CN1- Khu Công nghiệp Yên Mỹ, Xã Trung Hòa, Huyện Yên Mỹ, Tỉnh Hưng Yên, Việt Nam",10 - 150 nhân viên,"Fusion Group Co, Ltd được thành lập vào năm 2015 bởi Tổng giám đốc Cho Young Jun, ông có niềm đam mê cháy bỏng với vật nuôi, đặc biệt là chó mèo. Ông đã nghiên cứu rất nhiều về vật nuôi và thức ăn vật nuôi favorit. Ông thực hiện phân tích các thành phần của tất cả các nhà sản xuất thức ăn vật nuôi cao cấp trên thế giới. Dựa trên thực tế ông phát hiện ra các công thức có thể tạo ra một tiêu chuẩn dinh dưỡng lý tưởng cho vật nuôi, sản phẩm ông tìm ra chính là ANF – một sản phẩm hữu cơ nổi tiếng số 1 ở Hàn Quốc",Toàn thời gian cố định,20/04/2025,24 - 26,1 tháng,https://cdn1.vieclam24h.vn/images/default/2022/01/18/images/164247755599.png,https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/nhan-vien-thiet-ke-do-hoa-thu-nhap-toi-15-trieu-c3p93id200532018.html?open_from=0201_8_28&search_id=d4fa8a193e9199f29018e7f855bc14ef
Công Ty TNHH Dịch Vụ Quốc Tế Bắc Nam,Chuyên Viên Media Quay Dựng,Hà Nội,02/04/2025,1,,IT Phần mềm/,Chuyên Viên Media Quay Dựng,Chuyên viên- nhân viên,8 - 12 triệu,,1 năm,"1.Quay chụp; -Quay phim, chụp ảnh, phối hợp với thiết kế dựng video (âm thanh, hình ảnh, kỹ xảo...) cho các clip quảng cáo của công ty.
- Xây dựng kế hoạch, lên ý tưởng thực hiện hệ thống video, hình ảnh sản phẩm dịch vụ...của công ty.
- Tìm kiếm video hay, phù hợp và có chất lượng.; 2.Xử Lý Hình ảnh:; - Chịu trách nhiệm sáng tạo, biên tập và đánh giá chất lượng nội dung trên Fanpage Facebook.
- Xây dựng kho lưu trữ video, hình ảnh các nội dung liên quan tới hoạt động của công ty.
- Dựng phim, thiết kế, cắt/ghép nội dung, tạo hiệu ứng cho Video, cắt nối hình ảnh,.. sản xuất clip quảng cáo (CTKM, kịch bản theo phân cảnh), viral, CTKM,…các mảng hoạt động theo KH kinh doanh của công ty; 3.Sự kiện; - Tham gia quay chụp các hoạt động sự kiện truyền thông tại điểm bán.
– Tổ chức quay phim, chụp ảnh, dàn dựng album, clip truyền thông nội bộ phục vụ xây dựng và phát triển văn hóa doanh nghiệp (đào tạo, event nội bộ định kỳ,…)
– Phối hợp với các bộ phận liên quan biên tập, tổng hợp, sáng tạo nội dung video.
-    Hỗ trợ kỹ thuật cho các sự kiện livestream, quảng cáo video trên các nền tảng như Facebook, YouTube, TikTok.","-    Kinh nghiệm làm hậu kỳ ít nhất 6 tháng (bao gồm quang & dựng video), ưu tiên ứng viên có kỹ năng về các lĩnh vực khác có liên quan: animation, motion graphic…)
-    Ứng viên có kinh nghiệm về các sản phẩm mẹ và bé là lợi thế
-    Sử dụng tốt các công cụ, phần mềm cần thiết cho công việc
-    Có khả năng sắp xếp, tổ chức công việc & tuân thủ deadline
-    Chuyên nghiệp, trung thực, năng động, có trách nhiệm với công việc và chịu khó học hỏi.
-    Có kỹ năng giao tiếp và làm việc nhóm tốt","-Lương, thưởng hấp dẫn; -Được tham gia bảo hiểm xã hội theo quy định; -Được xét tăng lương hàng năm; -Thời gian thử việc: 2 tháng; -Được tham gia BYXH, BHYT, BHTN theo quy định; -Thưởng lễ, Tết, sinh nhật, ốm đau, chế độ hiếu hỷ theo quy định của công ty; -Hàng năm công ty đều tổ chức tham quan du lịch cho CBCNV","Số nhà 12, Đường 2 - Xã Mai Đình - Huyện Sóc Sơn - Hà Nội.",10 - 150 nhân viên,"Công ty TNHH Dịch vụ quốc tế Bắc Nam là đơn vị hàng đầu trong lĩnh vực nhập khẩu và phân phối các dòng sản phẩm hàng ngoại nội địa cao cấp các nghành Mẹ bé, tiêu dùng, chăm sóc sức khỏe và sắc đẹp toàn diện. Trong suốt thời gian hoạt động đến nay, chúng tôi là Đối tác uy tín của nhiều nhãn hàng nổi tiếng trên thế giới như: Aptamil, Blackmores, Ensure, Pediasure, Healthycare, A2 Milk…cùng nhiều các nhãn thương hiệu khác đến từ các nước như Úc, Mỹ, Châu Âu.",Toàn thời gian cố định,15/04/2025,31 - 33,3 tháng,https://cdn1.vieclam24h.vn/images/employer_avatar/2022/02/18/images/164516880660.jpeg,https://vieclam24h.vn/it-phan-mem/chuyen-vien-media-quay-dung-c8p73id200542675.html?open_from=0201_5_17&search_id=767bd5516ef4ecc0c8670f2c6162e247
Chi Nhánh Tại Thành Phố Hồ Chí Minh - Công Ty Cổ Phần Đầu Tư Thương Mại Và Phát Triển Công Nghệ Fsi,Thực Tập Sinh Kinh Doanh Dự Án,TP.HCM,01/04/2025,3,,IT Phần mềm/,Thực Tập Sinh Kinh Doanh Dự Án,Chuyên viên- nhân viên,2 - 3 triệu,,Dưới 1 năm,,,"Được đào tạo các kỹ năng trong mảng kinh doanh dự án CNTT; Được làm việc trong các dự án số hóa lớn; Hỗ trợ lương và dấu mộc thực tập; Môi trường làm việc năng động sáng tạo, cơ hội phát triển lên  vị trí chính thức","Tầng 09, Tòa nhà Lottery Tower, số 77 Trần Nhân Tôn, Phường 09, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",10 - 150 nhân viên,"Thành lập năm 2007, Công ty CP Đầu tư Thương mại và Phát triển Công nghệ FSI hoạt động trên các lĩnh vực: Hiện FSI là Nhà cung cấp hàng đầu trong lĩnh vực giải pháp, dịch vụ số hóa tài liệu và Tích hợp hệ thống Công nghệ thông tin. FSI là nhà phân phối độc quyền, duy nhất Máy scan Plustek, Kodak, SMA tại thị trường miền Bắc, Nhà phân phối độc quyền máy scan, in khổ A0 của ROWE tại khu vực Đông Dương, Gold Partner của Hp, IBM, Canon, Fujitsu... FSI đã triển khai thành công nhiều dự án số hóa tài liệu, tích hợp hệ thống trọng điểm tại các Bộ, Sở, Ngành của Hà Nội và các tỉnh",Thực tập,30/04/2025,30 - 32,7 tháng,https://cdn1.vieclam24h.vn/company-logo-medium/122019/39X05KyYmkqC2wRk16DlecT1NUc1b3MePvXOEbLm.png,https://vieclam24h.vn/it-phan-mem/thuc-tap-sinh-kinh-doanh-du-an-c8p122id200541307.html?open_from=0201_5_30&search_id=767bd5516ef4ecc0c8670f2c6162e247
Công Ty TNHH Atixis Việt Nam,Chuyên Viên Phát Triển Full Stack (Full Stack Development Executive),TP.HCM,17/03/2025,1,,IT Phần cứng - Mạng/,Chuyên Viên Phát Triển Full Stack (Full Stack Development Executive),Chuyên viên- nhân viên,20 - 40 triệu,Đại học,3 năm,"You will be based in Vietnam, working closely with developers in Paris.; ; Bạn sẽ làm việc tại Việt Nam và hợp tác chặt chẽ với các nhà phát triển tại Paris.",,,"Tầng 5, Tòa nhà IOS Văn Thành, 602/27 Điện Biên Phủ - Phường 22 - Quận Bình Thạnh - TP Hồ Chí Minh",10 - 150 nhân viên,,Toàn thời gian cố định,17/04/2025,33 - 35,2 tháng,https://vieclam24h.vn/img/vieclam24h_logo_customer.jpg,https://vieclam24h.vn/it-phan-cung-mang/chuyen-vien-phat-trien-full-stack-full-stack-development-executive-c7p122id200528222.html?open_from=0201_14_30&search_id=77a7724518e940a033ccee199f377709
